1,4, 15, 447, 48768
2,11, 15, 23722, 43300
3,15, 4, 22638, 33240
4,5, 15, 38190, 23655
5,15, 6, 17140, 20597
6,15, 13, 39856, 10485
7,15, 5, 9236, 11679
8,15, 13, 39624, 731
9,2, 15, 10207, 49126
10,13, 15, 43888, 47714
11,15, 5, 18467, 15890
12,2, 15, 499, 16596
13,15, 3, 20060, 20021
14,12, 15, 34531, 21748
15,10, 15, 49122, 22360
16,15, 11, 1615, 12734
17,15, 3, 17349, 16724
18,14, 15, 24917, 30137
19,15, 9, 34194, 18715
20,8, 15, 18066, 9155
21,9, 15, 31289, 42758
22,15, 5, 19069, 11400
23,15, 12, 17726, 17216
24,15, 11, 21005, 6549
25,12, 15, 33453, 23142
26,12, 15, 2398, 3222
27,15, 6, 12389, 19355
28,14, 15, 32637, 13540
29,5, 15, 24986, 144
30,15, 5, 11238, 12887
31,4, 15, 30865, 28031
32,15, 10, 8355, 4750
33,7, 15, 38202, 45213
34,0, 15, 33272, 35186
35,11, 15, 4230, 35030
36,0, 15, 19169, 9265
37,15, 7, 37970, 17891
38,15, 14, 13063, 46965
39,5, 15, 41817, 27821
40,14, 15, 47086, 45088
41,3, 15, 45766, 28463
42,2, 15, 33942, 44355
43,15, 6, 37806, 31311
44,7, 15, 11708, 19683
45,1, 15, 21955, 27678
46,13, 15, 22386, 5210
47,15, 14, 28894, 27760
48,15, 14, 24708, 24505
49,13, 15, 48897, 41674
50,10, 15, 27337, 37877
51,14, 15, 29510, 39149
52,9, 15, 22788, 22961
53,4, 15, 28884, 24404
54,4, 15, 6065, 36259
55,2, 15, 28658, 19955
56,15, 14, 47302, 9977
57,10, 15, 47427, 12243
58,6, 15, 44210, 37265
59,5, 15, 49713, 39422
60,15, 11, 5312, 47020
61,14, 15, 40636, 31902
62,15, 7, 40751, 11896
63,15, 1, 24936, 31952
64,15, 3, 20439, 47440
65,15, 2, 42624, 12630
66,11, 15, 28770, 45522
67,5, 15, 15587, 27679
68,5, 15, 10309, 6647
69,15, 0, 42142, 26315
70,9, 15, 40665, 43502
71,14, 15, 34488, 7802
72,7, 15, 42043, 45549
73,1, 15, 4696, 11243
74,15, 4, 29770, 22019
75,15, 5, 46113, 40084
76,1, 15, 30719, 29808
77,15, 8, 35087, 12734
78,5, 15, 13344, 2010
79,2, 15, 44953, 3911
80,15, 13, 34698, 24263
81,4, 15, 43711, 37906
82,7, 15, 14393, 23965
83,15, 10, 26433, 43816
84,3, 15, 25273, 14063
85,4, 15, 45382, 34559
86,0, 15, 9544, 38103
87,15, 10, 9627, 28466
88,15, 8, 40367, 28574
89,4, 15, 39510, 32308
90,11, 15, 10752, 21979
91,2, 15, 10354, 41323
92,15, 7, 6995, 14133
93,10, 15, 35966, 46897
94,15, 12, 16469, 35887
95,15, 1, 6440, 22924
96,11, 15, 39101, 43280
97,15, 1, 33329, 43184
98,10, 15, 40233, 13374
99,2, 15, 28347, 3404
100,9, 15, 48804, 44281
101,5, 15, 12070, 6632
102,10, 15, 8196, 6744
103,4, 15, 16313, 153
104,15, 1, 49700, 9478
105,15, 10, 46603, 7103
106,15, 4, 34951, 14301
107,15, 2, 42867, 26156
108,3, 15, 22113, 43095
109,2, 15, 1157, 1848
110,11, 15, 23535, 25395
111,15, 6, 41719, 5377
112,8, 15, 35423, 44969
113,1, 15, 46949, 32039
114,15, 9, 4973, 41221
115,12, 15, 3937, 21581
116,9, 15, 30047, 44027
117,12, 15, 36975, 14569
118,15, 6, 16579, 11753
119,8, 15, 31110, 39787
120,15, 5, 13121, 21592
121,15, 1, 10308, 12530
122,13, 15, 4548, 9350
123,15, 12, 24513, 32069
124,2, 15, 34793, 43879
125,15, 2, 37780, 46503
126,5, 15, 36411, 18427
127,15, 2, 41647, 23390
128,15, 5, 8500, 6881
129,9, 15, 15474, 11687
130,4, 15, 47974, 34702
131,15, 13, 32890, 39331
132,0, 15, 23998, 23415
133,15, 1, 45392, 48378
134,9, 15, 26741, 40721
135,15, 8, 24030, 4240
136,15, 5, 23863, 23607
137,15, 2, 33154, 42383
138,15, 11, 44560, 21501
139,7, 15, 15027, 31073
140,9, 15, 17823, 3592
141,15, 8, 20497, 25165
142,3, 15, 2063, 41921
143,15, 9, 9226, 36779
144,15, 7, 47614, 5990
145,15, 9, 16724, 32692
146,15, 2, 31056, 2895
147,15, 9, 42330, 39382
148,15, 13, 29842, 25520
149,15, 9, 22248, 31967
150,15, 6, 49510, 4724
151,15, 14, 18330, 12647
152,12, 15, 32929, 913
153,15, 4, 12467, 15901
154,15, 4, 29173, 6752
155,14, 15, 45793, 42975
156,15, 9, 42124, 22867
157,2, 15, 26953, 627
158,13, 15, 44203, 14405
159,15, 1, 30279, 5700
160,15, 4, 32000, 23105
161,15, 2, 11531, 29386
162,15, 9, 4782, 31939
